1	0	0	0
2	0	5	0
3	0	10	0
4	0	15	0
5	0	20	0
6	0	25	0
7	0	30	0
8	0	35	0
9	0	40	0
10	8	0	-5
11	8	5	-5
12	8	10	-5
13	8	15	-5
14	8	20	-5
15	8	25	-5
16	8	30	-5
17	8	35	-5
18	8	40	-5
19	16	0	-10
20	16	5	-10
21	16	10	-10
22	16	15	-10
23	16	20	-10
24	16	25	-10
25	16	30	-10
26	16	35	-10
27	16	40	-10
28	24	0	-15
29	24	5	-15
30	24	10	-15
31	24	15	-15
32	24	20	-15
33	24	25	-15
34	24	30	-15
35	24	35	-15
36	24	40	-15
37	32	0	-20
38	32	5	-20
39	32	10	-20
40	32	15	-20
41	32	20	-20
42	32	25	-20
43	32	30	-20
44	32	35	-20
45	32	40	-20
46	40	0	-25
47	40	5	-25
48	40	10	-25
49	40	15	-25
50	40	20	-25
51	40	25	-25
52	40	30	-25
53	40	35	-25
54	40	40	-25
55	48	0	-20
56	48	5	-20
57	48	10	-20
58	48	15	-20
59	48	20	-20
60	48	25	-20
61	48	30	-20
62	48	35	-20
63	48	40	-20
64	56	0	-15
65	56	5	-15
66	56	10	-15
67	56	15	-15
68	56	20	-15
69	56	25	-15
70	56	30	-15
71	56	35	-15
72	56	40	-15
73	64	0	-10
74	64	5	-10
75	64	10	-10
76	64	15	-10
77	64	20	-10
78	64	25	-10
79	64	30	-10
80	64	35	-10
81	64	40	-10
82	72	0	-5
83	72	5	-5
84	72	10	-5
85	72	15	-5
86	72	20	-5
87	72	25	-5
88	72	30	-5
89	72	35	-5
90	72	40	-5
91	80	0	0
92	80	5	0
93	80	10	0
94	80	15	0
95	80	20	0
96	80	25	0
97	80	30	0
98	80	35	0
99	80	40	0
